"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 07","52.00","53.95","55.10","50.80","251.75M","-4.24%"
"Nov 07","54.30","53.30","55.35","51.35","322.57M","1.59%"
"Oct 07","53.45","52.20","54.05","50.60","296.14M","2.20%"
"Sep 07","52.30","52.75","53.45","50.65","321.80M","-0.48%"
"Aug 07","52.55","46.67","52.55","44.35","466.35M","13.01%"
"Jul 07","46.50","46.50","48.75","44.80","329.02M","-0.21%"
"Jun 07","46.60","47.80","48.28","44.53","354.68M","-2.31%"
"May 07","47.70","48.00","48.78","46.55","476.31M","-0.57%"
"Apr 07","47.97","47.20","49.40","47.20","393.10M","1.37%"
"Mar 07","47.33","45.50","47.85","45.03","363.11M","4.24%"
"Feb 07","45.40","45.80","48.47","45.22","345.96M","-0.49%"
"Jan 07","45.63","43.70","45.90","42.65","270.64M","5.37%"
"Dec 06","43.30","42.22","44.47","41.80","229.05M","2.36%"
"Nov 06","42.30","42.53","44.92","42.30","226.68M","-0.47%"
"Oct 06","42.50","43.72","44.25","42.05","247.87M","-2.52%"
"Sep 06","43.60","42.33","43.90","42.15","231.66M","3.01%"
"Aug 06","42.33","40.28","42.50","39.80","260.75M","4.96%"
"Jul 06","40.33","38.40","40.42","37.85","306.61M","5.01%"
"Jun 06","38.40","36.35","38.40","35.83","302.45M","5.64%"
"May 06","36.35","37.70","38.13","35.50","490.32M","-3.90%"
"Apr 06","37.83","38.90","39.25","37.78","1.04B","-2.26%"
"Mar 06","38.70","38.58","39.33","37.40","536.41M","0.32%"
"Feb 06","38.58","37.45","40.03","36.97","371.78M","2.87%"
"Jan 06","37.50","39.35","40.17","37.25","290.69M","-4.58%"
"Dec 05","39.30","39.17","39.90","38.48","194.37M","0.77%"
"Nov 05","39.00","38.35","40.42","38.15","253.87M","1.56%"
"Oct 05","38.40","38.17","38.95","36.42","386.72M","1.32%"
"Sep 05","37.90","35.38","38.10","34.77","296.69M","7.67%"
"Aug 05","35.20","35.30","36.17","34.05","288.06M","-0.42%"
"Jul 05","35.35","32.73","35.65","32.45","319.44M","7.77%"
"Jun 05","32.80","32.95","33.88","32.70","271.21M","-0.15%"
"May 05","32.85","31.38","33.38","31.35","336.75M","4.95%"
"Apr 05","31.30","32.75","33.10","31.07","545.54M","-4.37%"
"Mar 05","32.73","32.23","32.95","31.85","329.85M","1.49%"
"Feb 05","32.25","31.25","32.45","31.10","322.44M","3.37%"
"Jan 05","31.20","29.95","31.45","29.82","253.75M","4.87%"
"Dec 04","29.75","29.12","30.12","29.02","227.73M","1.71%"
"Nov 04","29.25","28.30","30.90","28.25","273.34M","3.28%"
"Oct 04","28.32","28.80","29.50","27.60","346.85M","-0.98%"
"Sep 04","28.60","30.10","30.55","28.15","369.68M","-4.51%"
"Aug 04","29.95","32.65","33.05","29.40","319.33M","-8.41%"
"Jul 04","32.70","33.55","33.80","32.40","231.93M","-2.10%"
"Jun 04","33.40","32.70","33.90","32.25","356.83M","2.45%"
"May 04","32.60","32.75","33.90","32.10","401.74M","-0.61%"
"Apr 04","32.80","32.30","34.15","32.20","398.40M","1.55%"
"Mar 04","32.30","33.65","33.80","31.55","408.44M","-3.58%"
"Feb 04","33.50","33.30","34.60","33.00","318.11M","0.90%"
"Jan 04","33.20","31.05","33.45","31.00","255.38M","7.44%"
"Dec 03","30.90","30.05","30.95","29.65","183.95M","2.83%"
"Nov 03","30.05","29.45","30.40","28.80","227.24M","2.21%"
"Oct 03","29.40","30.50","31.10","29.25","247.76M","-3.45%"
"Sep 03","30.45","30.60","31.45","29.95","253.47M","-0.16%"
"Aug 03","30.50","27.40","31.15","27.15","250.88M","11.31%"
"Jul 03","27.40","28.00","28.30","26.65","235.61M","-1.97%"
"Jun 03","27.95","27.50","29.50","26.10","434.98M","2.38%"
"May 03","27.30","27.70","28.20","26.35","281.73M","-1.27%"
"Apr 03","27.65","26.80","29.10","26.60","410.57M","3.36%"
