Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691439
,SEC.M.A1.1000.F33000.N.4.EUR.E.Z,SEC.M.A1.1000.F33200.N.4.EUR.E.Z,SEC.M.I8.1000.F33000.N.4.EUR.E.Z,SEC.M.I8.1000.F33000.N.4.Z01.E.S,SEC.M.I8.1000.F33000.N.4.Z01.E.Z,SEC.M.I8.1000.F33000.N.4.Z06.E.Z,SEC.M.I8.1000.F33100.N.4.EUR.E.Z,SEC.M.I8.1000.F33100.N.4.Z01.E.Z,SEC.M.I8.1000.F33100.N.4.Z06.E.Z,SEC.M.I8.1000.F33200.N.4.EUR.E.Z,SEC.M.I8.1000.F33200.N.4.Z01.E.S,SEC.M.I8.1000.F33200.N.4.Z01.E.Z,SEC.M.I8.1000.F33200.N.4.Z06.E.Z,SEC.M.I8.1000.F33201.N.4.EUR.E.Z,SEC.M.I8.1000.F33201.N.4.Z01.E.Z,SEC.M.I8.1000.F33201.N.4.Z06.E.Z,SEC.M.I8.1000.F33202.N.4.EUR.E.Z,SEC.M.I8.1000.F33202.N.4.Z01.E.Z,SEC.M.I8.1000.F33202.N.4.Z06.E.Z,SEC.M.I8.1100.F33000.N.4.Z01.E.S,SEC.M.I8.1100.F33000.N.4.Z01.E.Z,SEC.M.I8.1100.F33100.N.4.Z01.E.Z,SEC.M.I8.1100.F33200.N.4.Z01.E.S,SEC.M.I8.1100.F33200.N.4.Z01.E.Z,SEC.M.I8.1100.F33201.N.4.Z01.E.Z,SEC.M.I8.1100.F33202.N.4.Z01.E.Z,SEC.M.I8.1235.F33000.N.4.Z01.E.S,SEC.M.I8.1235.F33000.N.4.Z01.E.Z,SEC.M.I8.1235.F33100.N.4.Z01.E.Z,SEC.M.I8.1235.F33200.N.4.Z01.E.S,SEC.M.I8.1235.F33200.N.4.Z01.E.Z,SEC.M.I8.1235.F33201.N.4.Z01.E.Z,SEC.M.I8.1235.F33202.N.4.Z01.E.Z,SEC.M.I8.12A0.F33000.N.4.Z01.E.S,SEC.M.I8.12A0.F33000.N.4.Z01.E.Z,SEC.M.I8.12A0.F33100.N.4.Z01.E.Z,SEC.M.I8.12A0.F33200.N.4.Z01.E.S,SEC.M.I8.12A0.F33200.N.4.Z01.E.Z,SEC.M.I8.12A0.F33201.N.4.Z01.E.Z,SEC.M.I8.12A0.F33202.N.4.Z01.E.Z,SEC.M.I8.1300.F33000.N.4.Z01.E.Z,SEC.M.I8.130D.F33000.N.4.Z01.E.S,SEC.M.I8.130D.F33000.N.4.Z01.E.Z,SEC.M.I8.130D.F33100.N.4.Z01.E.Z,SEC.M.I8.130D.F33200.N.4.Z01.E.S,SEC.M.I8.130D.F33200.N.4.Z01.E.Z,SEC.M.I8.1311.F33000.N.4.Z01.E.S,SEC.M.I8.1311.F33000.N.4.Z01.E.Z,SEC.M.I8.1311.F33200.N.4.Z01.E.S,SEC.M.I8.1311.F33200.N.4.Z01.E.Z
2006Nov,139395.427,135977.816,92887.385,87701.000,111704.747,18817.362,-3076.099,1255.908,4332.007,95963.483,87636.000,110448.838,14485.355,33890.762,39671.976,5781.214,50709.146,58212.987,7503.841,4624.000,4308.604,2533.535,1256.000,1775.069,3225.348,-910.008,25180.000,33789.373,1660.804,23785.000,32128.569,3677.299,28440.381,39132.000,41030.996,-5379.853,49286.000,46410.849,9624.281,23898.301,32575.774,4751.000,6373.825,-936.877,5779.000,7310.702,14014.000,26201.949,7529.000,22823.649
2006Oct,98994.818,105770.421,105498.148,120680.000,125214.328,19716.181,31636.845,35532.390,3895.546,73861.303,94095.000,89681.938,15820.635,27440.822,35878.216,8437.394,39411.696,45239.058,5827.362,6816.000,9894.042,1642.438,6867.000,8251.604,3515.944,5196.181,34396.000,39621.985,-78.444,34890.000,39700.429,7764.562,31320.957,68653.000,74871.442,36789.399,38567.000,38082.043,17403.905,14020.862,826.859,3930.000,5130.858,3890.309,472.000,1240.549,6885.000,-4303.999,13299.000,2407.313
2006Sep,119251.978,95455.138,48839.916,79009.000,55578.986,6739.070,-7240.818,-7793.731,-552.914,56080.734,77117.000,63372.717,7291.983,23901.289,28986.705,5085.416,24080.515,25472.882,1392.366,7879.000,3923.486,593.770,4161.000,3329.716,2226.845,806.448,19219.000,10689.793,-1546.473,19184.000,12236.266,3001.414,8462.783,45718.000,30766.830,-1036.454,40529.000,31803.283,17269.716,8352.929,10198.877,-135.000,-1227.176,-499.237,292.000,-727.939,6328.000,11426.053,12951.000,16731.391
2006Aug,31386.782,16440.011,20525.240,59784.000,25167.288,4642.048,9157.871,3592.202,-5565.668,11367.369,58417.000,21575.085,10207.716,-745.599,6189.317,6934.916,6967.853,9950.632,2982.779,-6085.000,-7759.433,-6890.854,611.000,-868.579,-1075.765,5.867,19782.000,10427.945,615.496,19547.000,9812.449,2762.784,7067.964,30134.000,18788.152,13444.145,18202.000,5344.007,1155.781,1172.478,3710.624,807.000,-193.640,-1248.562,1645.000,1054.922,15147.000,3904.264,18412.000,6232.286
2006Jul,11077.752,31646.145,26877.737,54885.000,38040.483,11162.746,9314.877,8139.133,-1175.744,17562.860,50696.000,29901.351,12338.490,-2885.175,4004.579,6889.754,24514.623,29628.610,5113.987,-4105.000,-3248.711,-706.185,-2283.000,-2542.526,-3572.722,1036.246,14275.000,13123.166,1594.849,13496.000,11528.317,-2578.212,13894.483,23000.000,27776.528,4996.320,19828.000,22780.208,5183.899,11098.142,389.500,4625.000,3606.534,560.883,4593.000,3045.651,17090.000,-3217.034,15061.000,-4910.300
2006Jun,63313.646,60083.218,22021.041,42726.000,32533.692,10512.651,-41441.520,-48873.860,-7432.340,63462.561,67641.000,81407.552,17944.991,20609.763,27472.070,6862.307,32823.674,43211.492,10387.817,2667.000,393.231,-2272.627,1198.000,2665.858,1580.390,2867.789,19279.000,23465.521,-375.141,18732.000,23840.662,6111.258,17789.566,9810.000,-8878.989,-43490.481,35227.000,34611.492,8570.628,15610.393,17553.929,2388.000,2326.547,-2739.582,4696.000,5066.129,8581.000,15227.382,7787.000,15223.411
2006May,127400.102,101951.245,113046.071,75338.000,128153.189,15107.117,25311.233,29400.146,4088.913,87734.838,49609.000,98753.042,11018.204,43708.359,48192.846,4484.487,39272.150,45141.138,5868.988,6275.000,12815.907,3458.385,5363.000,9357.522,5986.379,4448.813,15991.000,18452.171,527.041,15131.000,17925.130,523.809,16894.045,44815.000,59768.564,22991.767,20711.000,36776.797,16351.620,17202.725,37116.547,4823.000,4713.168,154.365,4548.000,4558.803,3434.000,32403.379,3856.000,30134.790
2006Apr,21508.407,35039.528,48568.993,57277.000,68926.294,20357.301,21773.621,21076.544,-697.076,26795.373,46366.000,47849.750,21054.377,16063.642,22590.276,6526.634,11229.046,24148.307,12919.261,6083.000,8877.651,4464.167,4148.000,4413.484,1600.279,2950.758,16970.000,18671.197,1678.701,16033.000,16992.496,9561.391,7105.075,32608.000,38624.327,15792.288,22173.000,22832.039,2905.781,10834.568,2753.119,-1654.000,-1460.352,-915.861,-609.000,-544.491,3270.000,4213.471,4621.000,4156.221
2006Mar,144742.576,91084.378,75159.300,76804.000,92935.195,17775.895,8363.034,16130.842,7767.808,66796.266,67868.000,76804.353,10008.087,38661.650,43515.768,4854.118,19656.667,24646.736,4990.069,2086.000,1521.139,2212.103,383.000,-690.964,-969.013,101.049,18244.000,12000.377,-1497.341,19694.000,13497.718,2705.020,10623.744,47046.000,56248.017,18217.886,28722.000,38030.131,17468.004,14861.232,23165.662,1006.000,1539.306,-2596.580,3064.000,4135.886,8422.000,21626.356,16005.000,21831.582
2006Feb,106512.926,88649.186,78085.472,60243.000,92286.697,14201.225,17459.797,17489.285,29.487,60625.674,47471.000,74797.412,14171.738,15698.181,19980.666,4282.485,39216.531,47102.385,7885.854,-1660.000,-540.035,-3095.040,2383.000,2555.005,919.034,1100.973,30816.000,32903.081,2997.573,29049.000,29905.508,7169.533,21871.880,34044.000,52976.898,18433.123,17005.000,34543.775,8143.325,22670.182,6946.752,4631.000,4788.730,-970.674,5694.000,5759.404,-7588.000,2158.022,-6660.000,2033.720
2006Jan,50813.971,43132.447,80051.914,63621.000,102099.448,22047.534,41167.334,46901.392,5734.058,38884.581,57084.000,55198.056,16313.476,24850.048,36166.416,11316.368,10016.129,14153.216,4137.087,-960.000,3682.173,5337.305,-83.000,-1655.132,-3988.845,1025.714,17389.000,5912.000,830.467,15967.000,5081.533,1050.114,2965.689,27460.000,45859.385,22006.896,23941.000,23852.489,22139.435,3897.715,46645.890,3571.000,3092.587,338.837,2822.000,2753.750,16160.000,43553.303,14436.000,25165.416
2005Dec,2513.868,34418.883,-34993.573,59441.000,-34311.709,681.864,-52311.787,-54685.164,-2373.377,17318.214,64652.000,20373.454,3055.241,-28956.516,-33306.096,-4349.580,45426.225,52680.965,7254.740,1706.000,-8568.300,-8735.727,2828.000,167.428,-1968.494,3428.023,32164.000,46107.678,-1830.180,33506.000,47937.858,7447.578,39968.763,9714.000,-26498.072,-17096.759,11906.000,-9401.314,-23275.307,11928.487,-45353.015,3918.000,3814.411,-24.826,4610.000,3839.237,11939.000,-49167.426,11803.000,-22169.755
2005Nov,80606.810,85264.702,63466.876,62683.000,78219.566,14752.689,-4711.537,-6390.146,-1678.609,68178.413,69420.000,84609.711,16431.298,27627.443,36784.467,9157.024,33913.426,40499.390,6585.963,-3835.000,-4525.697,-3372.283,-1496.000,-1153.414,-4904.042,3164.629,20475.000,25977.171,1790.396,18986.000,24186.775,2853.535,21300.337,21774.000,21283.977,752.262,24357.000,20531.715,-979.479,14881.103,35484.115,3748.000,5379.900,-5025.956,8965.000,10405.856,20521.000,30104.215,18608.000,30638.780
2005Oct,19747.267,36537.258,40698.695,54126.000,60355.334,19656.639,18293.975,22942.337,4648.362,22404.720,41509.000,37412.997,15008.277,12690.608,20990.860,8300.252,6102.568,11845.192,5742.624,6471.000,9824.476,3316.329,5071.000,6508.147,4850.876,1267.770,15846.000,19411.928,768.964,15342.000,18642.964,4585.893,14007.441,34083.000,42649.712,17430.804,24754.000,25218.908,18919.848,4164.246,-11530.782,3521.000,5361.561,2310.783,2180.000,3050.778,-5796.000,-16892.343,-5839.000,-16007.800
2005Sep,97391.521,65751.677,35968.191,68267.000,48285.196,12317.005,-5889.735,-6071.713,-181.978,41857.926,65290.000,54356.909,12498.983,15663.504,18348.380,2684.876,21754.656,31365.113,9610.457,2797.000,-1480.480,-2866.774,2405.000,1386.294,-1395.881,1209.175,21258.000,14363.948,-585.844,20466.000,14949.792,-1633.113,16484.991,21724.000,7697.982,-8776.872,24942.000,16474.854,7876.241,8843.709,27703.745,6177.000,4861.995,2458.498,3337.000,2403.497,16311.000,22841.750,14140.000,19142.472
2005Aug,6424.787,-4108.571,-8052.840,32336.000,-1364.304,6688.536,7481.876,6927.662,-554.214,-15534.716,25069.000,-8291.966,7242.750,-5611.340,-2995.895,2615.445,-1340.465,2405.120,3745.585,4158.000,2874.827,1273.085,2991.000,1601.742,126.070,1041.176,4177.000,-3557.512,-1464.094,5914.000,-2093.418,-2280.644,56.821,23958.000,11565.277,8398.837,15368.000,3166.440,418.710,-360.573,-12246.897,477.000,-761.115,-927.427,575.000,166.312,-434.000,-11485.782,220.000,-11133.043
2005Jul,-26468.986,-4979.833,-953.432,15777.000,1917.305,2870.738,10166.776,7663.565,-2503.210,-11120.208,11529.000,-5746.260,5373.948,-24016.242,-24610.021,-593.779,6419.692,12060.298,5640.606,748.000,1358.889,-332.412,1672.000,1691.301,139.687,620.591,-5317.000,-5681.428,-1334.682,-2972.000,-4346.746,-7384.541,2661.549,15908.000,21255.187,11266.851,6469.000,9988.335,-2894.651,9357.152,-15015.343,-809.000,-897.017,-1313.501,1539.000,416.484,5247.000,-14118.326,4821.000,-13495.635
2005Jun,186894.018,177608.698,124439.719,136221.000,130986.874,6547.155,-22020.304,-22338.823,-318.519,146460.023,138399.000,153325.698,6865.674,56853.411,59958.514,3105.103,81353.643,84742.893,3389.250,-5477.000,-7204.411,-9404.669,477.000,2200.258,3203.755,172.751,30312.000,34599.924,-550.329,29919.000,35150.253,3622.807,30778.815,68409.000,54604.710,-10729.777,65281.000,65334.487,16301.282,41493.028,48986.651,4992.000,3962.806,-757.501,4899.000,4720.307,37985.000,45023.845,37823.000,45920.392
2005May,68986.633,71409.351,63397.329,19792.000,68041.868,4644.539,2079.425,-608.875,-2688.299,61317.904,24382.000,68650.742,7332.838,27936.953,31606.939,3669.986,28934.501,31726.553,2792.052,-861.000,5805.408,4527.908,-2862.000,1277.500,748.934,441.606,19882.000,20791.225,-59.076,19492.000,20850.301,866.209,19821.092,3425.000,15285.605,-8459.634,9896.000,23745.240,2887.918,18054.193,26159.630,1467.000,1568.253,-1913.218,3317.000,3481.471,-4121.000,24591.377,-5460.000,19296.231
2005Apr,52420.282,48952.838,81001.288,86940.000,97922.603,16921.314,25817.836,30567.378,4749.542,55183.452,65590.000,67355.224,12171.772,23675.258,30356.313,6681.055,36096.989,41662.728,5565.738,5108.000,7257.908,5322.442,1961.000,1935.466,62.855,1299.594,12538.000,15074.528,1096.539,12284.000,13977.989,262.342,13537.346,42722.000,48049.611,25965.759,21087.000,22083.852,2397.208,15010.517,27540.556,2256.000,2614.778,-2151.562,4773.000,4766.340,24316.000,24925.777,25485.000,24591.577
2005Mar,105903.985,75196.813,44628.683,36937.000,55142.518,10513.836,-6856.889,-5110.059,1746.831,51485.572,49729.000,60252.577,8767.005,12265.509,15022.524,2757.015,32467.296,37516.727,5049.431,2698.000,2678.163,-1218.278,4830.000,3896.441,3030.081,691.065,15081.000,9965.772,-378.134,15484.000,10343.906,5844.186,4358.663,26783.000,36375.861,-4029.937,30976.000,40405.798,6705.160,29615.350,6122.723,4540.000,4163.042,-1518.131,4908.000,5681.173,-12165.000,1959.681,-6469.000,-74.741
2005Feb,118645.234,115824.615,106451.106,90217.000,118375.266,11924.160,8627.132,10259.140,1632.008,97823.975,85430.000,108116.127,10292.152,53591.724,57470.343,3878.619,36642.676,42593.998,5951.322,3231.000,3911.257,6168.395,-2142.000,-2257.139,-2969.113,298.429,4273.000,6331.609,1444.747,4119.000,4886.862,-124.619,4911.781,43604.000,60034.845,3804.046,40301.000,56230.799,17595.399,32791.168,48097.555,5370.000,5697.752,947.322,4732.000,4750.430,33740.000,42399.803,38420.000,44505.174
2005Jan,62125.973,64734.779,73659.423,51653.000,91329.959,17670.536,18272.285,25083.093,6810.808,55387.138,66180.000,66246.866,10859.728,39399.473,46631.357,7231.884,4457.108,6955.623,2498.515,-27.000,4224.190,8780.176,-2882.000,-4555.986,-5504.698,1022.537,6850.000,-3570.587,-607.154,6955.000,-2963.433,-1206.898,-1761.535,4543.000,22026.617,4025.636,17976.000,18000.981,8589.398,394.906,68649.739,8954.000,8503.814,1754.339,6730.000,6749.475,31334.000,60145.925,37401.000,49015.829
2004Dec,3786.989,27974.549,-22963.364,69830.000,-23492.898,-529.534,-41408.664,-42320.365,-911.701,18445.300,60971.000,18827.467,382.167,-4740.250,-5967.877,-1227.627,32401.805,33583.652,1181.847,-576.000,-10430.477,-8557.244,768.000,-1873.233,-2459.453,990.414,6798.000,19301.276,-2119.072,8038.000,21420.348,2299.808,19106.641,51616.000,17080.803,6221.984,31252.000,10858.819,-6669.955,13610.959,-49444.499,7221.000,7343.926,281.722,7874.000,7062.204,4771.000,-56788.425,13040.000,-18640.670
2004Nov,89999.604,72405.713,60870.859,59033.000,66051.566,5180.707,8414.189,2830.637,-5583.553,52456.670,55809.000,63220.930,10764.259,18441.566,26206.142,7764.576,30580.921,32869.455,2288.533,1577.000,639.562,-1545.624,1956.000,2185.186,545.640,1307.056,17830.000,20984.574,1470.110,16818.000,19514.464,8804.400,10719.164,24055.000,21065.272,4955.990,20905.000,16109.282,-3472.021,15864.841,23362.158,8955.000,10527.463,2170.829,6954.000,8356.634,6615.000,12834.695,9176.000,17055.364
2004Oct,23365.478,38488.227,32016.787,37140.000,43718.300,11701.513,11498.569,11743.231,244.663,20518.218,35728.000,31975.068,11456.850,-17789.887,-12764.363,5025.524,34784.435,40826.402,6041.967,-4630.000,-1051.395,-3867.959,1144.000,2816.564,1003.861,1107.202,12220.000,14571.463,821.441,11612.000,13750.022,3933.108,9801.764,30573.000,40262.940,15346.852,23890.000,24916.088,-2987.201,24430.506,-10064.709,7106.000,8855.041,1792.129,6220.000,7062.912,-8128.000,-18919.750,-7138.000,-16570.518
2004Sep,107106.695,90096.625,39501.249,54101.000,38605.585,-895.664,-12137.644,-15967.392,-3829.748,51638.893,61740.000,54572.977,2934.084,33372.796,35895.226,2522.430,11793.321,13186.334,1393.013,-2996.000,-7452.102,-7877.847,1762.000,425.745,166.599,235.303,2448.000,-3119.148,-408.141,1301.000,-2711.007,-4602.776,1868.469,38870.000,27196.188,-9486.044,43629.000,36682.232,10472.659,23007.889,21980.647,2743.000,1649.757,-1244.993,3658.000,2894.750,13036.000,20330.890,11390.000,17281.257
2004Aug,32610.069,26112.749,16507.024,50318.000,19617.193,3110.168,4818.922,1560.977,-3257.944,11688.103,47586.000,18056.215,6368.113,-3254.095,1074.292,4328.387,8362.894,10490.010,2127.117,-2963.000,-3983.620,-116.157,-2522.000,-3867.463,-2747.366,-1122.028,4822.000,-1754.161,490.098,4641.000,-2244.259,-1037.102,-1234.594,23918.000,12293.265,603.702,22395.000,11689.562,-2826.576,10793.595,13061.708,4400.000,3210.398,1292.702,2171.000,1917.696,20141.000,9851.310,20901.000,10560.678
2004Jul,24287.443,38927.384,38886.095,62218.000,52012.773,13126.678,7515.485,13677.922,6162.436,31370.610,50985.000,38334.852,6964.242,-3865.592,-3109.254,756.338,24328.835,30061.839,5733.004,6441.000,7144.568,-2392.739,9040.000,9537.308,1972.932,6864.463,7201.000,8417.503,989.937,7464.000,7427.566,2410.883,6344.504,27516.000,33161.299,7264.625,22073.000,25896.675,201.282,16807.926,3289.403,3127.000,3045.953,8879.911,-5077.000,-5833.958,17934.000,243.450,17484.000,1307.262
2004Jun,108403.110,82989.477,59279.258,71461.000,67361.672,8082.414,-3368.986,-88.042,3280.943,62648.243,53508.000,67449.714,4801.471,42859.730,46491.659,3631.929,19369.727,19877.903,508.176,5949.000,4861.205,-1067.101,3969.000,5928.306,3417.579,1489.946,14320.000,17636.158,-560.937,13909.000,18197.095,1331.127,16748.068,22095.000,10379.081,3666.591,6898.000,6712.490,959.616,-809.838,34485.228,9798.000,8923.275,1562.170,7813.000,7361.105,19300.000,25561.953,20919.000,29250.718
2004May,104580.318,108274.268,83978.923,54349.000,97539.278,13560.355,-2553.878,-2456.402,97.476,86532.801,61544.000,99995.680,13462.879,62431.092,69114.872,6683.780,16068.497,22535.554,6467.057,3642.000,9880.783,2774.959,3231.000,7105.824,5796.640,1131.850,3806.000,3984.913,-1062.810,4385.000,5047.723,1756.362,3286.202,23518.000,32849.571,-6988.782,28212.000,39838.353,12480.155,21320.177,50824.012,1457.000,1615.010,178.385,1304.000,1436.625,21926.000,49209.002,24412.000,46567.155
2004Apr,29048.179,43782.983,52022.182,58477.000,68833.742,16811.560,14146.573,17429.636,3283.063,37875.608,49378.000,51404.105,13528.497,-992.673,5250.748,6243.421,29422.971,35360.747,5937.776,1049.000,2532.723,6849.533,-4016.000,-4316.810,-5892.803,1405.853,6165.000,8920.055,1371.584,5628.000,7548.471,6447.573,1022.627,33939.000,38567.225,8893.658,28353.000,29673.567,3575.044,18772.203,18813.738,1543.000,1666.846,820.374,853.000,846.472,15781.000,17146.892,18560.000,17652.405
2004Mar,112760.270,64596.853,59622.121,61017.000,82095.250,22473.129,17518.744,21467.694,3948.950,42103.377,49626.000,60627.556,18524.179,28142.761,42549.303,14406.542,18396.041,21596.385,3200.344,-3994.000,-3197.798,3840.409,-6700.000,-7038.207,-7684.612,1528.832,-3624.000,-7897.238,363.207,-3740.000,-8260.445,427.184,-8716.728,48429.000,57467.101,5192.564,43755.000,52274.537,17064.984,30016.948,35723.185,2897.000,3060.017,-328.313,2839.000,3388.330,17310.000,32663.168,13471.000,20263.341
2004Feb,78945.915,85057.884,80765.663,57034.000,85016.059,4250.396,-1251.588,-1286.027,-34.439,82017.251,65288.000,86302.086,4284.835,44618.243,47502.167,2883.924,30447.496,31298.197,850.701,1763.000,2236.651,-558.889,3184.000,2795.539,1413.279,1242.094,3479.000,5691.064,818.847,3699.000,4872.217,516.601,4321.616,17737.000,33435.898,-3239.531,22093.000,36675.429,18659.996,13606.305,43652.447,6603.000,6774.041,978.929,5754.000,5795.112,27451.000,36878.406,30559.000,36163.788
2004Jan,81905.100,64574.255,86657.004,56435.000,95097.016,8440.011,40695.630,49319.661,8624.031,45961.374,45595.000,45777.354,-184.020,31268.095,29422.127,-1845.968,4791.594,5932.462,1140.868,-4137.000,282.257,6097.455,-3638.000,-5815.199,-4125.240,1703.886,7718.000,-2092.920,-2058.335,9532.000,-34.585,-1015.980,940.795,22144.000,38288.206,22360.947,15005.000,15927.258,1210.774,5718.259,58619.473,4066.000,3868.893,1223.394,2759.000,2645.499,26644.000,54750.580,21937.000,33054.380
2003Dec,-30187.146,3786.081,-51286.259,47345.000,-48334.120,2952.139,-52476.155,-53757.737,-1281.582,1189.896,46264.000,5423.617,4233.721,-24092.500,-21330.710,2761.790,31467.221,33072.969,1605.748,10673.000,364.354,-5456.904,8210.000,5821.258,4491.197,1330.311,12053.000,23369.540,477.094,10316.000,22892.446,7035.107,15722.563,22463.000,-11613.533,-16326.296,24720.000,4712.763,-19484.700,19468.804,-60454.481,2026.000,1483.375,368.489,1876.000,1114.886,130.000,-61937.856,1140.000,-29117.736
2003Nov,70560.723,55991.052,53094.551,49808.000,53354.913,260.362,4155.332,71.037,-4084.295,48939.219,49996.000,53283.876,4344.657,33315.459,36426.279,3110.820,15240.421,16020.058,779.637,5346.000,4078.047,-1745.196,5775.000,5823.242,7092.163,-792.475,12621.000,14709.295,1000.108,12262.000,13709.187,6378.223,7302.963,26867.000,24165.525,4121.590,24987.000,20043.935,5054.600,13720.351,10402.046,2868.000,4259.793,-176.390,3067.000,4436.183,2107.000,6142.253,3906.000,9271.328
2003Oct,64539.557,58269.420,65591.540,70340.000,75847.776,10256.236,20204.795,22852.201,2647.406,45386.745,57570.000,52995.575,7608.830,13364.060,17615.675,4251.615,23811.459,26498.644,2687.185,2215.000,5814.561,3327.814,740.000,2486.747,697.363,-202.816,13202.000,14393.969,319.361,13051.000,14074.608,4859.429,7796.180,31556.000,40943.039,9496.819,30944.000,31446.220,14713.341,13021.976,14696.208,1935.000,3105.616,-692.396,2890.000,3798.012,21431.000,11590.591,9945.000,1189.988
2003Sep,96033.040,79347.493,59154.424,82594.000,70307.827,11153.403,-8216.586,-3604.324,4612.262,67371.010,78172.000,73912.151,6541.141,48935.566,49885.871,950.305,22064.623,27026.449,4961.826,-1320.000,-5169.511,-3139.729,-679.000,-2029.782,-523.252,-1828.717,19456.000,14793.456,-128.446,17954.000,14921.902,4096.136,10825.765,26209.000,16566.591,-3566.500,25150.000,20133.091,884.904,17806.339,44117.291,7640.000,6755.524,-119.641,7608.000,6875.165,30609.000,37361.767,28139.000,34011.774
2003Aug,3181.508,7451.941,5244.811,26319.000,1217.646,-4027.165,-900.311,-10218.099,-9317.788,6145.122,36041.000,11435.745,5290.623,868.147,4212.808,3344.660,3316.425,4637.788,1321.363,622.000,-258.100,-1546.126,2465.000,1288.026,950.851,321.430,11338.000,5944.568,2337.634,9402.000,3606.934,3721.727,-164.399,5111.000,-5159.938,-11906.107,15691.000,6746.169,3324.545,2557.826,691.117,-360.000,-731.877,-986.055,375.000,254.178,9608.000,1422.994,8108.000,-459.562
2003Jul,25925.110,42688.289,29010.415,44499.000,38691.532,9681.117,5925.564,2051.974,-3873.590,23084.850,45007.000,36639.557,13554.707,12756.857,24177.070,11420.213,7621.306,9187.109,1565.803,-2283.000,-1207.398,793.462,-2799.000,-2000.860,878.534,-2829.874,12966.000,14865.518,1625.697,12614.000,13239.821,9694.043,3515.968,19527.000,26250.389,-3068.696,25118.000,29319.086,14133.423,13157.425,-1216.978,2519.000,2353.470,1313.139,1535.000,1040.331,11770.000,-3570.448,8540.000,-4958.821
2003Jun,79488.150,69106.236,35382.258,45593.000,40028.791,4646.532,-17539.660,-19956.272,-2416.612,52921.918,47980.000,59985.062,7063.144,38018.020,43622.936,5604.916,17343.732,17998.018,654.286,3817.000,2997.689,-4098.518,5023.000,7096.207,8231.381,-2419.093,10531.000,13328.868,-82.384,9658.000,13411.252,5779.258,7606.994,16845.000,4858.834,-13405.377,18965.000,18264.211,4190.813,11305.857,18843.399,5183.000,4329.640,-80.131,5017.000,4409.771,9218.000,14513.759,9317.000,16803.621
2003May,101401.999,92777.099,81862.227,53592.000,89960.726,8098.499,6159.289,8530.673,2371.384,75702.938,49879.000,81430.052,5727.115,62113.579,67008.956,4895.377,2441.769,3005.267,563.498,3705.000,9266.050,2998.402,2873.000,6267.648,5562.875,-1457.607,9385.000,9311.732,-493.042,9537.000,9804.774,9313.987,491.473,12071.000,19399.320,-1077.772,10950.000,20477.092,10180.809,4104.148,51983.623,2756.000,2909.022,56.626,2715.000,2852.396,25675.000,49074.601,23804.000,42028.142
2003Apr,49326.154,46344.681,59224.133,52253.000,61675.460,2451.327,24088.485,22129.241,-1959.244,35135.648,36757.000,39546.219,4410.571,16231.969,18008.783,1776.814,8209.483,10407.870,2198.387,5661.000,6345.152,257.125,6536.000,6088.027,3234.564,751.768,14777.000,17123.955,85.832,15306.000,17038.122,8199.094,8722.028,16855.000,21006.622,6821.057,12685.000,14185.565,5630.813,4507.051,17199.731,4077.000,4174.373,308.404,3917.000,3865.969,10882.000,13025.358,-1687.000,-1631.464
2003Mar,105487.470,72269.864,63458.831,47800.000,70075.037,6616.206,9602.423,11015.211,1412.788,53856.408,47896.000,59059.826,5203.418,33170.442,34091.821,921.379,20870.939,25121.902,4250.963,7293.000,8732.922,997.770,7597.000,7735.152,6472.654,-819.117,12797.000,9353.888,1286.827,11757.000,8067.061,3626.080,4375.882,8141.000,16581.857,-2864.073,12009.000,19445.930,2238.724,13565.816,35406.370,3252.000,3324.858,-148.850,3074.000,3473.708,16317.000,32081.512,13459.000,20337.975
2003Feb,89495.224,58406.808,72976.299,56096.000,83501.795,10525.496,25134.227,27363.914,2229.687,47842.073,35119.000,56137.882,8295.809,40481.736,46266.220,5784.484,2556.310,4800.384,2244.074,9646.000,9864.488,4706.821,5786.000,5157.667,5273.543,-329.740,12116.000,14001.148,135.448,12464.000,13865.700,8398.605,5351.845,7596.000,22475.099,8202.082,970.000,14273.017,8157.312,4921.287,37161.060,5834.000,5898.615,379.467,5550.000,5519.148,20904.000,31262.445,10350.000,17322.350
2003Jan,84471.009,45775.114,85725.325,67903.000,102841.390,17116.065,56917.109,58999.478,2082.369,28808.215,42347.000,43841.911,15033.696,27072.140,40534.503,13462.363,-3408.629,-1925.656,1482.973,11578.000,15223.395,8420.548,9318.000,6802.847,6666.249,-507.627,8575.000,644.274,-446.422,9014.000,1090.696,734.525,346.171,21265.000,37347.795,32765.968,2344.000,4581.826,6622.532,-1344.756,49625.925,4260.000,3914.674,-336.392,4465.000,4251.066,22225.000,45711.251,17206.000,27115.476
2002Dec,-51809.541,-21580.167,-72009.595,11002.000,-79544.646,-7535.051,-43207.724,-45685.518,-2477.794,-28801.871,7839.000,-33859.128,-5057.257,-37924.236,-41978.730,-4054.494,18883.273,18104.506,-778.767,5649.000,-3888.695,-5568.930,3777.000,1680.235,2530.478,-632.848,23885.000,33082.379,1107.207,21895.000,31975.172,11522.789,20207.230,-5156.000,-38897.577,-22668.177,3697.000,-16229.400,-19302.914,4215.060,-69840.753,2779.000,2540.172,168.788,2872.000,2371.384,-16156.000,-72380.924,-24402.000,-53656.518
